LANGUAGE LAYOUT REPORT  (policy: max 5 visible rows)

id              script              rows(old->new)  layers      status
sl              Latin               4->4            1 (case)    PASS
sn              Latin               4->4            1 (case)    PASS
sq              Latin               4->4            1 (case)    PASS
sr              Cyrillic            layered->4      2 (case)    PASS
ss              Latin               4->4            1 (case)    PASS
st              Latin               4->4            1 (case)    PASS
su              Latin               4->4            1 (case)    PASS
sv              Latin               4->4            1 (case)    PASS
sw              Latin               4->4            1 (case)    PASS
ta              Tamil               layered->5      2           PASS
ta-Latn         Latin               4->4            1 (case)    PASS
te              Telugu              layered->5      2           PASS
te-Latn         Latin               4->4            1 (case)    PASS
tg              Cyrillic            layered->4      2 (case)    PASS
th              Thai                layered->5      2           PASS
ti-ET           Ethiopic            5->5            1           PASS
tk              Latin               4->4            1 (case)    PASS
tl              Latin               4->4            1 (case)    PASS
tn              Latin               4->4            1 (case)    PASS
to              Latin               4->4            1 (case)    PASS
tr              Latin               4->4            1 (case)    PASS
ts              Latin               4->4            1 (case)    PASS
tt              Cyrillic            layered->4      2 (case)    PASS
tw              Latin               4->4            1 (case)    PASS
ty              Latin               4->4            1 (case)    PASS
ug-Arab         Arabic              layered->4      2           PASS
ug-Cyrl         Cyrillic            layered->4      2 (case)    PASS
ug-Latn         Latin               4->4            1 (case)    PASS
uk              Cyrillic            layered->4      2 (case)    PASS
ur-IN           Arabic              layered->4      2           PASS
uz              Latin               4->4            1 (case)    PASS
ve              Latin               4->4            1 (case)    PASS
vi              Latin               5->5            1 (case)    PASS 1 dup codes
wa              Latin               4->4            1 (case)    PASS
war             Latin               4->4            1 (case)    PASS
wo              Latin               4->4            1 (case)    PASS
xh              Latin               4->4            1 (case)    PASS
yi              Hebrew              4->4            1           PASS
yo              Latin               4->4            1 (case)    PASS
zh-Latn-pinyin  Latin               4->4            1 (case)    PASS
zu              Latin               4->4            1 (case)    PASS
------------------------------------------------------------------------------------------
Total: 186   PASS: 186   FAIL: 0   (dup-code warnings: 1)
Tallest keyboard after split: 5 rows (was up to 9).
